Ticker,Date,Type,Shares,Price
AAPL,2022-05-20,Buy,0.04417,136.77
AMZN,2023-01-04,Buy,0.235183,85.04
AAPL,2023-01-09,Buy,0.163775,130.06
BROS,2023-01-16,Buy,0.576701,34.68
UBER,2023-01-23,Buy,0.647773,30.88
HOOD,2023-01-30,Buy,1.953252,10.24
TTD,2023-02-05,Buy,0.381606,52.41
ABNB,2023-02-15,Buy,0.14759,135.51
DOCU,2023-02-21,Buy,0.337894,59.19
ZG,2023-02-27,Buy,0.484782,41.4
NVDA,2023-03-06,Buy,0.84461,23.68
XYZ,2023-03-13,Buy,0.291566,68.6
MELI,2023-03-23,Buy,0.016264,1229.71
AAPL,2023-03-28,Buy,0.127538,156.82
DOCU,2023-04-03,Buy,0.348341,57.42
BROS,2023-04-10,Buy,0.616808,32.43
AAPL,2023-04-17,Buy,0.121237,164.97
NFLX,2023-04-24,Buy,0.06027,331.84
AXP,2023-05-01,Buy,0.125035,159.96
MSFT,2023-05-09,Buy,0.064981,307.78
BROS,2023-05-17,Buy,0.741385,26.99
IONQ,2023-05-23,Buy,1.754034,11.47
NVDA,2023-05-30,Buy,0.50285,40.171
TSM,2023-06-05,Buy,0.202593,98.72
AMZN,2023-06-07,Buy,0.1649,121.29
VEEV,2023-06-13,Buy,0.106648,191.28
ABNB,2023-06-20,Buy,0.161587,125.01
ASML,2023-06-21,Buy,0.059,708.66
TSM,2023-06-26,Buy,0.198136,101.95
AMZN,2023-07-03,Buy,0.155398,130.31
MELI,2023-07-06,Buy,0.017361,"1,163.53"
TSM,2023-07-11,Buy,0.201225,100.39
SHOP,2023-07-17,Buy,0.295093,68.69
RBLX,2023-07-20,Buy,0.494189,40.88
MNST,2023-07-24,Buy,0.348125,58.03
ENPH,2023-07-27,Buy,0.119237,169.41
MSFT,2023-08-01,Buy,0.059813,337.72
TSM,2023-08-02,Buy,0.211197,95.65
ASML,2023-08-02,Buy,0.029,686.93
SNOW,2023-08-08,Buy,0.130697,154.56
UBER,2023-08-14,Buy,0.453977,44.06
MA,2023-08-23,Buy,0.05102,399.84
SNOW,2023-08-25,Buy,0.137516,147.11
MNST,2023-08-29,Buy,0.349011,57.94
ENPH,2023-09-05,Buy,0.157453,129.44
ASML,2023-09-07,Buy,0.031,637.24
V,2023-09-11,Buy,0.081917,246.59
TTD,2023-09-18,Buy,0.247978,81.62
SNOW,2023-09-21,Buy,0.124728,149.37
MA,2023-09-25,Buy,0.050313,402.08
TTD,2023-10-02,Buy,0.26849,78.25
MA,2023-10-09,Buy,0.053579,391.94
CRWD,2023-10-16,Buy,0.109036,188.01
CRWD,2023-10-24,Buy,0.110934,182.09
TTD,2023-10-26,Buy,0.302893,66.69
MELI,2023-11-01,Buy,0.016792,1237.33
DASH,2023-11-06,Buy,0.281898,88.69
ABNB,2023-11-13,Buy,0.211909,117.98
MSFT,2023-11-17,Buy,0.067359,371.15
DASH,2023-11-20,Buy,0.262743,95.15
TSLA,2023-11-27,Buy,0.106107,235.61
RBLX,2023-12-04,Buy,0.616979,40.52
TSLA,2023-12-11,Buy,0.418,238.75
RBLX,2023-12-18,Buy,3.398,44.15
AMZN,2023-12-26,Buy,0.815,153.2464
DASH,2024-01-02,Buy,1.306,95.6871
SHOP,2024-01-02,Buy,2.72,73.51
ASML,2024-01-02,Buy,0.075,716.7
MSFT,2024-01-08,Buy,0.337545,370.32
MELI,2024-01-16,Buy,0.074,1674.75
ABNB,2024-01-22,Buy,0.875,142.8095
TTD,2024-01-29,Buy,1.868,70.51
MELI,2024-01-30,Buy,0.571,1749.8199
ABNB,2024-02-05,Buy,7.123,144.61
MSFT,2024-02-12,Buy,2.824664,417.4
CRWD,2024-02-13,Buy,3.434,291.57
NVDA,2024-02-13,Buy,11.75,85.1435
TSM,2024-02-13,Buy,7.75,129.0355
SHOP,2024-02-13,Buy,12.238,81.6899
TTD,2024-02-13,Buy,19.315,81.77
ASML,2024-03-11,Buy,1.034,967.63
RBLX,2024-03-18,Buy,27.639,36.1766
MA,2024-03-18,Buy,2.091,478.3389
AMZN,2024-03-25,Buy,5.549,180.48
UBER,2024-04-01,Buy,13.152,76.39
DASH,2024-04-08,Buy,7.316,136.6568
V,2024-04-15,Buy,3.608,277.24
TSLA,2024-04-22,Buy,7.02,142.48
AAPL,2024-04-29,Buy,5.731,174.49
CELH,2024-05-06,Buy,12.837,78.18
MNST,2024-05-13,Buy,18.116,55.2
MNST,2024-05-20,Buy,18.492,54.09
